id,event,obj,page_load_time,trigger_time,user_id,device
781,8,,2022-08-30 20:48:11,2022-08-30 20:48:30.533235,,1
782,6,,2022-08-30 20:49:06,2022-08-30 20:49:09.071457,,1
783,28,,2022-08-30 20:48:30,2022-08-30 20:49:10.956015,88,1
784,26,,2022-08-30 20:49:11,2022-08-30 20:49:19.141422,88,1
785,9,,2022-08-30 20:49:19,2022-08-30 20:49:48.213307,88,1
786,8,,2022-08-30 20:49:09,2022-08-30 20:51:20.326731,,1
787,10,,2022-08-30 20:51:20,2022-08-30 20:51:29.516160,89,1
788,10,,2022-08-30 20:51:20,2022-08-30 20:52:20.965965,89,1
789,27,,2022-08-30 20:52:21,2022-08-30 20:52:28.346546,89,1
790,13,,2022-08-30 20:49:48,2022-08-30 20:53:13.088145,88,1
791,28,,2022-08-30 20:53:21,2022-08-30 20:53:31.601288,88,1
792,13,,2022-08-30 20:47:05,2022-08-30 20:56:27.425120,60,1
793,28,,2022-08-29 20:55:34,2022-08-30 20:58:13.714519,55,1
794,6,,2022-08-30 21:03:34,2022-08-30 21:03:37.657737,,1
795,8,,2022-08-30 21:03:37,2022-08-30 21:04:06.982901,,1
796,6,,2022-08-30 21:11:13,2022-08-30 21:11:17.498253,,0
797,8,,2022-08-30 21:11:17,2022-08-30 21:11:46.126018,,0
798,26,,2022-08-30 21:11:47,2022-08-30 21:12:02.686213,91,0
799,9,,2022-08-30 21:12:02,2022-08-30 21:12:09.838840,91,0
800,13,,2022-08-30 20:52:28,2022-08-30 21:19:28.677805,89,1
801,6,,2022-08-30 21:23:03,2022-08-30 21:23:21.115972,,1
802,8,,2022-08-30 21:23:21,2022-08-30 21:23:53.132466,,1
